Id,Sex,PopNum,Population,GOL,NOL,BNL
624,M,6,ZULU,182,180,99
625,M,6,ZULU,186,184,99
626,M,6,ZULU,195,193,114
627,M,6,ZULU,185,183,97
628,M,6,ZULU,180,178,99
629,M,6,ZULU,186,183,104
630,M,6,ZULU,184,182,101
631,M,6,ZULU,172,172,103
632,M,6,ZULU,190,188,99
633,M,6,ZULU,187,185,105
634,M,6,ZULU,194,193,105
635,M,6,ZULU,196,194,111
636,M,6,ZULU,179,177,96
637,M,6,ZULU,191,190,110
638,M,6,ZULU,188,187,96
639,M,6,ZULU,189,186,104
640,M,6,ZULU,180,178,97
641,M,6,ZULU,185,184,110
642,M,6,ZULU,191,189,103
643,M,6,ZULU,183,182,99
644,M,6,ZULU,187,185,103
645,M,6,ZULU,176,174,96
646,M,6,ZULU,180,179,94
647,M,6,ZULU,184,183,97
648,M,6,ZULU,182,180,107
649,M,6,ZULU,186,183,108
650,M,6,ZULU,180,178,104
651,M,6,ZULU,194,192,107
652,M,6,ZULU,188,186,101
653,M,6,ZULU,179,178,91
654,M,6,ZULU,190,189,107
655,M,6,ZULU,180,178,98
656,M,6,ZULU,174,173,95
657,M,6,ZULU,178,177,96
658,M,6,ZULU,182,181,103
659,M,6,ZULU,190,188,108
660,M,6,ZULU,180,179,103
661,M,6,ZULU,182,180,97
662,M,6,ZULU,182,181,102
663,M,6,ZULU,192,190,101
664,M,6,ZULU,183,181,103
665,M,6,ZULU,181,178,101
666,M,6,ZULU,196,192,110
667,M,6,ZULU,182,181,99
668,M,6,ZULU,190,189,106
669,F,6,ZULU,179,176,100
670,F,6,ZULU,177,175,92
671,F,6,ZULU,190,189,104
672,F,6,ZULU,186,185,99
673,F,6,ZULU,185,183,96
674,F,6,ZULU,181,181,100
675,F,6,ZULU,182,180,103
676,F,6,ZULU,175,173,94
677,F,6,ZULU,178,176,98
678,F,6,ZULU,182,182,101
679,F,6,ZULU,185,182,107
680,F,6,ZULU,175,175,97
681,F,6,ZULU,176,175,90
682,F,6,ZULU,179,178,92
683,F,6,ZULU,176,175,93
684,F,6,ZULU,181,181,96
685,F,6,ZULU,189,187,102
686,F,6,ZULU,173,172,97
688,F,6,ZULU,178,178,97
689,F,6,ZULU,173,171,96
690,F,6,ZULU,181,180,101
691,F,6,ZULU,186,183,101
692,F,6,ZULU,186,185,99
693,F,6,ZULU,174,173,96
694,F,6,ZULU,176,175,98
695,F,6,ZULU,174,174,99
696,F,6,ZULU,177,176,100
697,F,6,ZULU,176,175,90
698,F,6,ZULU,185,184,104
699,F,6,ZULU,174,173,90
700,F,6,ZULU,184,182,97
701,F,6,ZULU,171,171,88
702,F,6,ZULU,181,179,93
703,F,6,ZULU,174,173,91
704,F,6,ZULU,183,182,98
705,F,6,ZULU,174,174,95
706,F,6,ZULU,172,171,94
